Address,Neighborhood,Lat,Lon,Value23,Value24,Tax23,Tax24
"1 Longfellow Drive Cape Elizabeth, ME 04107",U21,43.595508,-70.2361191,154500,470900,3452,4839
"1 Lydon Lane Cape Elizabeth, ME 04107",U33,43.62639,-70.2354508,808400,1159700,18060,12482
"1 Maiden Cove Lane Cape Elizabeth, ME 04107",U05,43.6277611,-70.2155598,609300,1807700,13612,19610
"1 Manor Way Cape Elizabeth, ME 04107",U30,43.6106232,-70.2215311,778600,1543500,17394,16979
"1 Maplewood Road Cape Elizabeth, ME 04107",U03,43.6314071,-70.2280093,257100,792700,5744,8720
"1 Masefield Terrace Cape Elizabeth, ME 04107",U38,43.5713692,-70.2052246,618300,1398000,13813,15103
"1 Mckenney Point Road Cape Elizabeth, ME 04107",U41,43.5601416,-70.2101441,447400,930000,9995,9955
"1 Meadowview Lane Cape Elizabeth, ME 04107",U31,43.6163076,-70.2322366,326900,651700,7303,6894
"1 Misty Lane Cape Elizabeth, ME 04107",U36,43.5771236,-70.2116446,509800,1374200,11389,15116
"1 Oakview Drive Cape Elizabeth, ME 04107",U25,43.607992,-70.23658,161900,342400,3617,3766
"1 Oakwood Road Cape Elizabeth, ME 04107",U24,43.6049009,-70.2345486,237500,530500,5306,5561
"1 Ocean House Road Cape Elizabeth, ME 04107",U28,43.621819,-70.2491412,258800,1052400,5782,10894
"1 Overlook Lane Cape Elizabeth, ME 04107",U12,43.5844049,-70.2086139,621600,1128800,13887,12073
"1 Peabbles Point Lane Cape Elizabeth, ME 04107",R03,43.5876452,-70.2060058,483600,1134200,10804,12476
"1 Peppergrass Road Cape Elizabeth, ME 04107",U60,43.599447,-70.2558312,664700,1297900,14849,14002
"1 Phantom Farm Road Cape Elizabeth, ME 04107",R03,43.5740982,-70.2168635,416900,907600,9314,9984
"1 Pheasant Hill Road Cape Elizabeth, ME 04107",R04,43.6026044,-70.2480185,227700,505700,5087,5288
"1 Pilot Point Road Cape Elizabeth, ME 04107",U12,43.5790967,-70.2112405,492300,996700,10998,10964
"1 Pine Point Road Cape Elizabeth, ME 04107",U35,43.598957,-70.2377068,368000,669400,8221,7363
"1 Pine Ridge Road Cape Elizabeth, ME 04107",U36,43.5753639,-70.2084195,477200,1030400,10661,11059
"1 Pleasant Valley Ave Cape Elizabeth, ME 04107",U24,43.6053963,-70.2364123,194300,532600,4341,5859
"1 Pond View Road Cape Elizabeth, ME 04107",U18,43.5759105,-70.2221251,217500,591100,4859,6502
"1 Quartz Knob Road Cape Elizabeth, ME 04107",U57,43.6154284,-70.2277928,765000,1537600,17090,16914
"1 Ram Island Farm Road Cape Elizabeth, ME 04107",R09,43.5591229,-70.2663975,638600,830600,14266,9137
"1 Red Oak Drive Cape Elizabeth, ME 04107",U34,43.6323881,-70.2324842,506600,918600,11317,10105
"1 Reef Road Cape Elizabeth, ME 04107",U12,43.5838526,-70.2079442,254000,539200,5674,5931
"1 Roberts Lane Cape Elizabeth, ME 04107",U08,43.6110976,-70.2135925,390600,984400,8726,10828
"1 Rock Crest Drive Cape Elizabeth, ME 04107",U50,43.6161023,-70.2301934,501100,1155100,11195,12431
"1 Rock Wall Lane Cape Elizabeth, ME 04107",U04,43.6253105,-70.2274006,289700,757900,6472,8337
"1 Rocky Point Lane Cape Elizabeth, ME 04107",U14,43.5694,-70.2023378,267700,554900,5980,6104
"1 Roundabout Lane Cape Elizabeth, ME 04107",U36,43.5751365,-70.2087895,490400,1081600,10956,11898
"1 Rugosa Way Cape Elizabeth, ME 04107",U38,43.5733847,-70.2063601,1308000,2673400,29221,29407
"1 Running Tide Road Cape Elizabeth, ME 04107",U38,43.569189,-70.2066649,428000,1044400,9562,11488
"1 Russet Lane Cape Elizabeth, ME 04107",U35,43.596148,-70.2372314,187500,500200,4189,5227
"1 Salt Marsh Way Cape Elizabeth, ME 04107",R05,43.5922901,-70.2651761,323100,683600,7218,7245
"1 Salt Spray Lane Cape Elizabeth, ME 04107",U36,43.5776124,-70.2093788,607200,1937900,13565,21042
"1 Silva Drive Cape Elizabeth, ME 04107",U46,43.6009449,-70.2658851,246000,546400,5496,5735
"1 Singles Road Cape Elizabeth, ME 04107",U08,43.6144222,-70.2131258,1335600,3415900,29837,37300
"1 Smugglers Cove Road Cape Elizabeth, ME 04107",U10,43.6037663,-70.2165151,431200,750200,9633,8252
"1 Spoondrift Lane Cape Elizabeth, ME 04107",U36,43.5779777,-70.2111878,351200,1183900,7846,12748
"1 Starboard Drive Cape Elizabeth, ME 04107",U45,43.5912245,-70.244554,146200,315700,3266,3198
"1 Stephenson Street Cape Elizabeth, ME 04107",U29,43.6232319,-70.2439232,230400,564200,5147,5931
"1 Stirrup Road Cape Elizabeth, ME 04107",U24,43.6045047,-70.2298231,449600,759200,10044,8351
"1 Summit Road Cape Elizabeth, ME 04107",U03,43.6307354,-70.2255306,490500,958800,10958,10272
"1 Sunny Bank Road Cape Elizabeth, ME 04107",U41,43.5597722,-70.2091326,1225300,1857100,27373,20428
"1 Surf Road Cape Elizabeth, ME 04107",U05,43.6257787,-70.2163188,380300,1067900,8496,11472
"1 Tanager Lane Cape Elizabeth, ME 04107",R04,43.609483,-70.2571983,282400,755800,6309,8039
"1 Tanglewood Place Cape Elizabeth, ME 04107",U38,43.5723752,-70.2031467,1614000,4271500,36057,46712
"1 Tiger Lily Lane Cape Elizabeth, ME 04107",U59,43.5985324,-70.2599302,668000,1351600,14923,14868
"1 Village Lane Cape Elizabeth, ME 04107",U45,43.5939354,-70.2430522,370200,675700,8270,7158
"1 Wabun Road Cape Elizabeth, ME 04107",U12,43.5812066,-70.2095329,497000,1165800,11103,12549
"1 Wainwright Drive Cape Elizabeth, ME 04107",U52,43.5941496,-70.2464473,654900,1371400,14630,14810
"1 Warbler Drive Cape Elizabeth, ME 04107",R04,43.6090622,-70.25933,317200,805000,7086,8580
"1 Waterhouse Road Cape Elizabeth, ME 04107",U29,43.6197879,-70.2470749,204900,530300,4577,5558
"1 Wentworth Road Cape Elizabeth, ME 04107",U18,43.5775825,-70.2221411,438900,743700,9805,8181
"1 Westfield Road Cape Elizabeth, ME 04107",U42,43.5825438,-70.2164466,263000,589500,5875,6485
"1 Wildwood Drive Cape Elizabeth, ME 04107",U24,43.6058719,-70.2389235,338300,649700,7558,6872
"1 Wilton Lane Cape Elizabeth, ME 04107",U28,43.6189093,-70.2509996,207100,523900,4627,5488
"1 Windward Way Cape Elizabeth, ME 04107",U05,43.6299344,-70.2215813,122000,133900,2725,1473
"1 Winslow Place Cape Elizabeth, ME 04107",U30,43.6113055,-70.2339098,257500,420800,5753,4354
"1 Young Lane Cape Elizabeth, ME 04107",R04,43.6086854,-70.2696012,359000,790000,8020,8415
"2 Abaco Drive Cape Elizabeth, ME 04107",U33,43.6259548,-70.2277701,541300,1165500,12093,12546
"2 Abbey Lane Cape Elizabeth, ME 04107",U27,43.6124791,-70.2511315,387700,926900,8661,10196
"2 Albion Road Cape Elizabeth, ME 04107",U25,43.6085355,-70.2371292,320400,662400,7158,7011
"2 Algonquin Road Cape Elizabeth, ME 04107",U12,43.5795793,-70.2111414,519000,990200,11594,10551
"2 Ann Arbor Drive Cape Elizabeth, ME 04107",U32,43.6195192,-70.2361392,732100,1115600,16355,12272
"2 Autumn Tides Lane Cape Elizabeth, ME 04107",R05,43.5921403,-70.2519945,890700,1488100,19898,16094
"2 Avon Road Cape Elizabeth, ME 04107",U12,43.5807565,-70.2116388,457800,844100,10227,9010
"2 Baker Road Cape Elizabeth, ME 04107",U03,43.6299361,-70.2280042,337300,852700,7535,9380
"2 Balsam Road Cape Elizabeth, ME 04107",U15,43.5653887,-70.2025516,822000,1271000,18363,13981
"2 Bayberry Lane Cape Elizabeth, ME 04107",U19,43.5829341,-70.2275154,272500,588900,6088,6478
"2 Beach Rose Lane Cape Elizabeth, ME 04107",U17,43.568767,-70.2273606,274100,748800,6123,7962
"2 Beacon Lane Cape Elizabeth, ME 04107",U15,43.5650347,-70.2020703,1461500,2468000,32650,27148
"2 Berman Road Cape Elizabeth, ME 04107",U19,43.5834464,-70.2301652,284900,614200,6365,6481
"2 Beverly Terrace Cape Elizabeth, ME 04107",U28,43.6380596,-70.2385615,240200,572800,5366,6301
"2 Birch Knolls Cape Elizabeth, ME 04107",U05,43.6275433,-70.218111,399000,1079100,8914,11595
"2 Blueberry Road Cape Elizabeth, ME 04107",U34,43.6322062,-70.2346584,353000,768800,7886,8129
"2 Bowery Beach Road Cape Elizabeth, ME 04107",U16,43.5697809,-70.2226402,227900,607000,5091,6677
"2 Brentwood Road Cape Elizabeth, ME 04107",U35,43.5954886,-70.2399484,267900,566000,5985,6226
"2 Brownstone Lane Cape Elizabeth, ME 04107",U33,43.6238427,-70.2324062,363800,687800,8127,7291
"2 Canter Lane Cape Elizabeth, ME 04107",U23,43.6006146,-70.229986,919400,1884200,20539,20726
"2 Canterbury Way Cape Elizabeth, ME 04107",U29,43.5981927,-70.2234396,389300,791300,8697,8429
"2 Cape Woods Drive Cape Elizabeth, ME 04107",U33,43.6264605,-70.2324368,256300,633900,5726,6973
"2 Cardinal Lane Cape Elizabeth, ME 04107",R05,43.5959321,-70.2595159,694400,1709700,15513,18807
"2 Chambers Road Cape Elizabeth, ME 04107",U24,43.6056198,-70.2351861,223200,592200,4986,6514
"2 Channel View Road Cape Elizabeth, ME 04107",U38,43.5740147,-70.206823,839300,2047000,18750,22242
"2 Charles Road Cape Elizabeth, ME 04107",U01,43.6327076,-70.2264267,221900,752200,4957,7933
"2 Cherry Circle Cape Elizabeth, ME 04107",U35,43.5963032,-70.2387088,287700,567500,6427,5968
