Address,Neighborhood,Lat,Lon,Value23,Value24,Tax23,Tax24
"5 Russet Lane Cape Elizabeth, ME 04107",U35,43.5965899,-70.2373521,201100,502100,4493,5523
"5 Salt Marsh Way Cape Elizabeth, ME 04107",R05,43.5915104,-70.2661295,569800,898200,12729,9605
"5 Scott Dyer Road Cape Elizabeth, ME 04107",U22,43.5964806,-70.2298941,83200,267100,1859,2938
"5 Sea Barn Road Cape Elizabeth, ME 04107",U08,43.610313,-70.2153303,2452500,5773200,54789,63505
"5 Sea View Avenue Cape Elizabeth, ME 04107",U02,43.6326975,-70.2236897,639300,1712700,14282,18523
"5 Silva Drive Cape Elizabeth, ME 04107",U46,43.599566,-70.2642017,515000,1000400,11505,11004
"5 Spoondrift Lane Cape Elizabeth, ME 04107",U36,43.5777433,-70.2123868,388500,1065300,8679,11443
"5 Spruce Lane Cape Elizabeth, ME 04107",U36,43.5761633,-70.2137135,390600,1064900,8726,11714
"5 Star Road Cape Elizabeth, ME 04107",U22,43.5971842,-70.2353336,221700,512700,4953,5365
"5 Starboard Drive Cape Elizabeth, ME 04107",U45,43.5913106,-70.2443379,183900,321900,4108,3541
"5 State Avenue Cape Elizabeth, ME 04107",U28,43.6204577,-70.2494975,175300,530200,3916,5557
"5 Steeplebush Road Cape Elizabeth, ME 04107",U58,43.5943117,-70.2543204,565000,1379500,12622,15175
"5 Surf Road Cape Elizabeth, ME 04107",U05,43.6259979,-70.2159841,401200,1253100,8963,13509
"5 Susan Road Cape Elizabeth, ME 04107",U43,43.5776394,-70.2420619,205300,530500,4586,5836
"5 Sweet Fern Road Cape Elizabeth, ME 04107",U19,43.5818968,-70.2267316,180400,597600,4030,6299
"5 Tanager Lane Cape Elizabeth, ME 04107",R04,43.6093559,-70.2577293,291200,746200,6505,8208
"5 Thrasher Road Cape Elizabeth, ME 04107",U32,43.6214385,-70.2352559,343900,738900,7683,7853
"5 Tote Road Cape Elizabeth, ME 04107",U27,43.6102349,-70.2519566,465300,900900,10395,9635
"5 Vernon Road Cape Elizabeth, ME 04107",U19,43.5827481,-70.2300141,229100,544300,5118,5987
"5 Wabun Road Cape Elizabeth, ME 04107",U12,43.5817168,-70.2086231,308000,743000,6881,7898
"5 Wainwright Drive Cape Elizabeth, ME 04107",U52,43.5930983,-70.2471361,526600,1192900,11764,12968
"5 Warbler Drive Cape Elizabeth, ME 04107",R04,43.6088793,-70.2589988,318800,755400,7122,8034
"5 Waterhouse Road Cape Elizabeth, ME 04107",U29,43.620368,-70.2468173,212100,507300,4738,5305
"5 Waumbek Road Cape Elizabeth, ME 04107",U12,43.5828538,-70.207812,253800,658000,5670,6963
"5 Wentworth Road Cape Elizabeth, ME 04107",U18,43.5772794,-70.2230492,191800,517700,4285,5695
"5 Westfield Road Cape Elizabeth, ME 04107",U42,43.582109,-70.2169348,201500,569400,4502,5988
"5 Wheeler Road Cape Elizabeth, ME 04107",U18,43.5717566,-70.2211198,346600,782800,7743,8611
"5 Wildwood Drive Cape Elizabeth, ME 04107",U24,43.6057782,-70.2398541,287900,626300,6432,6614
"5 Wilton Lane Cape Elizabeth, ME 04107",U28,43.6190028,-70.251627,193600,505200,4325,5282
"5 Winding Way Cape Elizabeth, ME 04107",U38,43.5694936,-70.207859,481500,1251500,10757,13492
"5 Winslow Place Cape Elizabeth, ME 04107",U30,43.611857,-70.2336739,221600,347100,4951,3543
"5 Wood Road Cape Elizabeth, ME 04107",U04,43.6265636,-70.2186378,493700,991600,11029,10633
"6 Abaco Drive Cape Elizabeth, ME 04107",U33,43.6256372,-70.2288568,517700,1209700,11565,13032
"6 Albion Road Cape Elizabeth, ME 04107",U25,43.6094033,-70.237356,476800,882200,10652,9704
"6 Alexander Drive Cape Elizabeth, ME 04107",R04,43.6112575,-70.254409,339700,727600,7589,7729
"6 Algonquin Road Cape Elizabeth, ME 04107",U12,43.5799812,-70.2104113,309700,847800,6919,9051
"6 Angell Point Road Cape Elizabeth, ME 04107",U41,43.5598229,-70.2113573,917800,1133500,20504,12194
"6 Apple Tree Lane Cape Elizabeth, ME 04107",U58,43.59354,-70.257252,110600,495900,2471,5455
"6 Arrow Point Road Cape Elizabeth, ME 04107",U04,43.6276136,-70.2260341,473600,1338500,10580,14366
"6 Avon Road Cape Elizabeth, ME 04107",U12,43.5805625,-70.2125244,505900,967900,11302,10372
"6 Bayberry Lane Cape Elizabeth, ME 04107",U19,43.5831618,-70.2265249,259200,571200,5791,6008
"6 Beacon Lane Cape Elizabeth, ME 04107",U15,43.5643926,-70.2027739,560300,899200,12517,9616
"6 Beverly Terrace Cape Elizabeth, ME 04107",U28,43.6380326,-70.2388215,172500,515600,3854,5397
"6 Blueberry Road Cape Elizabeth, ME 04107",U34,43.6329411,-70.2338603,109000,262400,2435,2886
"6 Boathouse Lane Cape Elizabeth, ME 04107",R03,43.5883335,-70.2089382,338800,1560600,7569,17167
"6 Bowery Beach Road Cape Elizabeth, ME 04107",U16,43.5693249,-70.2229444,260000,699800,5808,7698
"6 Brentwood Road Cape Elizabeth, ME 04107",U35,43.5957946,-70.2399088,288300,548800,6441,5762
"6 Bridlepath Way Cape Elizabeth, ME 04107",U06,43.6222631,-70.2213102,426100,920500,9519,9851
"6 Campion Road Cape Elizabeth, ME 04107",U33,43.6223329,-70.2360596,200000,489700,4468,5112
"6 Canterbury Way Cape Elizabeth, ME 04107",U29,43.5990948,-70.2238397,300600,657800,6715,7236
"6 Cap Elliot Road Cape Elizabeth, ME 04107",U14,43.5654721,-70.206417,260200,516100,5813,5677
"6 Cape Woods Drive Cape Elizabeth, ME 04107",U33,43.6271207,-70.2317308,255900,559700,5717,5882
"6 Carriage Hill Road Cape Elizabeth, ME 04107",U42,43.5839976,-70.2144616,323200,740600,7220,7872
"6 Chambers Road Cape Elizabeth, ME 04107",U24,43.605695,-70.2347197,218100,572900,4872,6027
"6 Channel View Road Cape Elizabeth, ME 04107",U38,43.5736169,-70.2078025,366600,1300400,8190,14304
"6 Charles Road Cape Elizabeth, ME 04107",U01,43.6325784,-70.2269235,163300,700100,3648,7426
"6 Cherry Circle Cape Elizabeth, ME 04107",U35,43.596708,-70.2382804,248700,559300,5556,6152
"6 Clinton Road Cape Elizabeth, ME 04107",U24,43.6036507,-70.2338992,358200,708100,8002,7514
"6 Cottage Lane Cape Elizabeth, ME 04107",U05,43.6270438,-70.2164079,363100,942600,8112,10094
"6 Cove View Road Cape Elizabeth, ME 04107",U56,43.5710119,-70.2121361,612800,1506700,13690,16299
"6 Cranbrook Drive Cape Elizabeth, ME 04107",U30,43.6098744,-70.2247706,442500,1109900,9885,12209
"6 Crescent View Ave Cape Elizabeth, ME 04107",U16,43.568263,-70.2222942,276900,666200,6186,7053
"6 Dawe Road Cape Elizabeth, ME 04107",U27,43.6131229,-70.2506009,352900,642800,7884,6796
"6 Dean Way Cape Elizabeth, ME 04107",U18,43.575381,-70.2190153,373700,751000,8348,8261
"6 Dearborn Drive Cape Elizabeth, ME 04107",U22,43.5963796,-70.2360448,233000,570300,5205,5998
"6 Deep Brook Road Cape Elizabeth, ME 04107",U06,43.624963,-70.2186883,310900,768300,6946,8451
"6 Dipper Road Cape Elizabeth, ME 04107",R04,43.6080354,-70.2570127,301800,782400,6742,8606
"6 Dyer Lane Cape Elizabeth, ME 04107",U15,43.5629807,-70.2010314,350000,968700,7819,10315
"6 Dyer Pond Road Cape Elizabeth, ME 04107",U51,43.6179619,-70.2177928,738100,1289100,16489,13905
"6 Eastfield Road Cape Elizabeth, ME 04107",U42,43.5828889,-70.2149804,262500,651700,5864,7169
"6 Evergreen Circle Cape Elizabeth, ME 04107",U35,43.5974291,-70.238043,318500,614800,7115,6488
"6 Farm Hill Road Cape Elizabeth, ME 04107",U21,43.5948654,-70.2330078,191000,477500,4267,4978
"6 Fenway Road Cape Elizabeth, ME 04107",U44,43.5800866,-70.2339662,196300,502600,4385,5529
"6 Fox Hill Road Cape Elizabeth, ME 04107",U24,43.606552,-70.232443,505100,784400,11284,8628
"6 Franklin Circle Cape Elizabeth, ME 04107",U49,43.6416648,-70.2278942,451800,977500,10093,10478
"6 Gateledge Drive Cape Elizabeth, ME 04107",U50,43.6205908,-70.2312478,476800,891400,10652,9530
"6 Gladys Road Cape Elizabeth, ME 04107",U19,43.5813382,-70.2271563,221900,525300,4957,5778
"6 Glen Avenue Cape Elizabeth, ME 04107",U02,43.6332858,-70.2243204,292900,764100,6543,8130
"6 Glos Way Cape Elizabeth, ME 04107",U49,43.621012,-70.2426009,696000,1437600,15548,15264
"6 Granite Ridge Road Cape Elizabeth, ME 04107",U50,43.619822,-70.2264019,1197000,2063400,26740,22148
"6 Great Pond Drive Cape Elizabeth, ME 04107",R06,43.5815369,-70.2321632,354400,689200,7918,7582
"6 Grouse Run Drive Cape Elizabeth, ME 04107",R04,43.6119071,-70.2654898,1541400,2297000,34434,24718
"6 Hamlin Street Cape Elizabeth, ME 04107",U29,43.6229665,-70.2429496,844600,1504800,18868,16552
"6 Hampton Road Cape Elizabeth, ME 04107",U19,43.5825118,-70.2284983,492600,1104600,11004,11600
"6 Harriman Farm Road Cape Elizabeth, ME 04107",U31,43.6166394,-70.2336202,528800,882900,11813,9437
"6 Harrison Avenue Cape Elizabeth, ME 04107",U29,43.6199637,-70.2475286,178300,435900,3983,4520
"6 Headland Lane Cape Elizabeth, ME 04107",U49,43.6195025,-70.2414191,349200,703000,7801,7458
"6 Hemlock Hill Road Cape Elizabeth, ME 04107",U33,43.6255514,-70.2323848,352800,578100,7882,6359
"6 Hermit Thrush Road Cape Elizabeth, ME 04107",U04,43.6270183,-70.2260609,238500,718100,5328,7899
"6 High Bluff Road Cape Elizabeth, ME 04107",U04,43.6262186,-70.2231678,358600,843600,8011,9005
"6 High View Road Cape Elizabeth, ME 04107",U42,43.5846781,-70.2126076,325300,805200,7267,8582
"6 Hillcrest Drive Cape Elizabeth, ME 04107",U10,43.601328,-70.2177962,504200,921000,11264,9856
"6 Hockey Pond Road Cape Elizabeth, ME 04107",R05,43.6186543,-70.2152441,279000,644300,6233,7087
"6 Hunts Point Road Cape Elizabeth, ME 04107",U38,43.5682498,-70.2122912,1911800,3925200,42710,42902
"6 Jewett Road Cape Elizabeth, ME 04107",U19,43.5833739,-70.2297246,233900,509200,5225,5326
"6 Jordan Farm Road Cape Elizabeth, ME 04107",U55,43.5659104,-70.2132117,569700,1364900,12727,14739
"6 Juniper Lane Cape Elizabeth, ME 04107",U23,43.5986393,-70.2351906,234500,502300,5239,5250
"6 Lawson Road Cape Elizabeth, ME 04107",U08,43.6110957,-70.2153155,366100,916500,8179,9807
"6 Leighton Farm Road Cape Elizabeth, ME 04107",R05,43.5945524,-70.2537401,378300,852000,8451,9372
"6 Lindenwood Road Cape Elizabeth, ME 04107",U04,43.6284261,-70.2242065,488400,982600,10911,10809
"6 Linwood Street Cape Elizabeth, ME 04107",U34,43.6310451,-70.2362134,270200,573500,6036,5990
"6 Littlejohn Road Cape Elizabeth, ME 04107",U06,43.6235156,-70.2177192,455000,920100,10165,9846
"6 Locksley Road Cape Elizabeth, ME 04107",U06,43.62192,-70.2229225,391200,907200,8739,9704
"6 Manor Way Cape Elizabeth, ME 04107",U30,43.6119253,-70.2230418,614200,1267500,13721,13668
"6 Manter Street Cape Elizabeth, ME 04107",U33,43.6253262,-70.2342888,287500,621200,6423,6833
"6 Mares Hollow Lane Cape Elizabeth, ME 04107",U15,43.5623047,-70.2013875,1285300,2640900,28714,29050
"6 Masefield Terrace Cape Elizabeth, ME 04107",U38,43.5704768,-70.2061754,512900,1152600,11458,12679
"6 Maxwell Woods Drive Cape Elizabeth, ME 04107",U29,43.619039,-70.244031,363300,815000,8116,8965
"6 Mcauley Road Cape Elizabeth, ME 04107",U49,43.6225714,-70.2381973,232400,544600,5192,5991
"6 Meadow Way Cape Elizabeth, ME 04107",U21,43.5943773,-70.2352916,188100,455900,4202,5015
"6 Meadowview Lane Cape Elizabeth, ME 04107",U31,43.6154655,-70.233134,459500,787800,10265,8666
"6 Mountain View Road Cape Elizabeth, ME 04107",U03,43.6317696,-70.224569,448500,971300,10019,10409
"6 Oakview Drive Cape Elizabeth, ME 04107",U25,43.6076145,-70.2361298,150400,338200,3360,3720
"6 Oakwood Road Cape Elizabeth, ME 04107",U24,43.605519,-70.2337032,226700,486400,5064,5075
"6 Olde Colony Lane Cape Elizabeth, ME 04107",U09,43.6076047,-70.2187591,346600,772200,7743,8219
"6 Orchard Road Cape Elizabeth, ME 04107",U21,43.5952162,-70.2353065,169500,475900,3787,4894
"6 Patricia Drive Cape Elizabeth, ME 04107",U35,43.5956233,-70.2413145,250500,553200,5596,5810
"6 Peabbles Point Lane Cape Elizabeth, ME 04107",R03,43.5883335,-70.2089382,351300,1025200,7848,11277
"6 Phantom Farm Road Cape Elizabeth, ME 04107",R03,43.5762979,-70.215458,853300,1457100,19063,16028
"6 Pheasant Hill Road Cape Elizabeth, ME 04107",R04,43.6032293,-70.2473847,431200,787100,9633,8383
"6 Philip Road Cape Elizabeth, ME 04107",U22,43.5967853,-70.2351877,245300,510500,5480,5341
"6 Phoebes Way Cape Elizabeth, ME 04107",R04,43.6087386,-70.2569699,267100,760700,5967,8093
"6 Pine Point Road Cape Elizabeth, ME 04107",U35,43.5994582,-70.236911,317600,538900,7095,5928
"6 Pine Ridge Road Cape Elizabeth, ME 04107",U36,43.574281,-70.2089874,440000,1056300,9830,11344
"6 Pleasant Avenue Cape Elizabeth, ME 04107",U27,43.611145,-70.250219,229500,586300,5127,6449
"6 Point Road Cape Elizabeth, ME 04107",U08,43.6099701,-70.2132743,1383400,3494100,30905,38435
"6 Pond View Road Cape Elizabeth, ME 04107",U18,43.5753944,-70.2216799,237100,550800,5297,6059
"6 Prout Place Cape Elizabeth, ME 04107",U53,43.596962,-70.268078,121800,1372900,2721,15102
"6 Reef Road Cape Elizabeth, ME 04107",U13,43.5848376,-70.2076083,485200,850300,10839,9078
"6 Robinhood Road Cape Elizabeth, ME 04107",U06,43.622639,-70.2192404,409800,911900,9155,9756
"6 Rocky Hill Road Cape Elizabeth, ME 04107",U04,43.6252874,-70.2212602,414600,953200,9262,10210
"6 Rocky Knoll Road Cape Elizabeth, ME 04107",U04,43.627135,-70.2255447,254000,812600,5674,8939
"6 Rocky Point Lane Cape Elizabeth, ME 04107",U14,43.5696591,-70.2012933,1400800,2926900,31294,32196
"6 Rosewood Drive Cape Elizabeth, ME 04107",U34,43.6302193,-70.2343681,478300,750200,10685,7873
"6 Roundabout Lane Cape Elizabeth, ME 04107",U36,43.5747512,-70.2098746,424600,1024900,9486,10933
"6 Running Tide Road Cape Elizabeth, ME 04107",U38,43.5702622,-70.2051902,593300,1366300,13254,15029
"6 Russet Lane Cape Elizabeth, ME 04107",U35,43.5965271,-70.2377991,271800,634800,6072,6983
"6 Salt Spray Lane Cape Elizabeth, ME 04107",U36,43.5771612,-70.208634,1299700,3063800,29035,33605
"6 Sea View Avenue Cape Elizabeth, ME 04107",U02,43.633696,-70.2226761,398800,1402300,8909,15425
"6 Silva Drive Cape Elizabeth, ME 04107",U46,43.6014666,-70.265308,194700,514800,4350,5388
"6 Southwell Road Cape Elizabeth, ME 04107",U33,43.6221508,-70.2369436,215900,531000,4823,5566
"6 Spoondrift Lane Cape Elizabeth, ME 04107",U36,43.5773649,-70.2121819,504100,1118100,11262,12299
"6 Star Road Cape Elizabeth, ME 04107",U22,43.5975438,-70.2354852,240200,517600,5366,5419
"6 State Avenue Cape Elizabeth, ME 04107",U28,43.6202625,-70.2491069,144600,475100,3230,4951
"6 Stephenson Street Cape Elizabeth, ME 04107",U29,43.6238973,-70.2434403,266100,587200,5945,6184
"6 Stonybrook Road Cape Elizabeth, ME 04107",U03,43.6301775,-70.2219996,483900,1019000,10810,11209
"6 Sunny Bank Road Cape Elizabeth, ME 04107",U41,43.5587748,-70.2099062,2642400,4956200,59031,54243
"6 Susan Road Cape Elizabeth, ME 04107",U43,43.5777427,-70.2414836,209300,580500,4676,6166
"6 Sweet Fern Road Cape Elizabeth, ME 04107",U19,43.5822879,-70.2268535,286200,559300,6394,5877
"6 Sweetsir Road Cape Elizabeth, ME 04107",U19,43.5836216,-70.2325123,196100,463600,4381,4825
"6 Tanager Lane Cape Elizabeth, ME 04107",R04,43.6089771,-70.2577556,259500,652900,5797,6907
"6 Tiger Lily Lane Cape Elizabeth, ME 04107",U60,43.5997994,-70.2599477,939500,1661200,20988,18273
"6 Tucker Lane Cape Elizabeth, ME 04107",R03,43.5878145,-70.2075537,339300,926600,7580,10193
"6 Two Lights Terrace Cape Elizabeth, ME 04107",U15,43.5644781,-70.2011632,1383300,1788100,30903,19669
"6 Wabun Road Cape Elizabeth, ME 04107",U12,43.5817681,-70.2095758,351600,777000,7855,8272
"6 Waterhouse Road Cape Elizabeth, ME 04107",U29,43.6207307,-70.2471526,195900,543400,4376,5977
"6 Waumbek Road Cape Elizabeth, ME 04107",U12,43.5831803,-70.2069255,481000,965000,10746,10340
"6 Webster Farm Road Cape Elizabeth, ME 04107",R02,43.5899867,-70.2191863,1050800,1523900,23475,16763
"6 Westfield Road Cape Elizabeth, ME 04107",U42,43.5816308,-70.2167184,217800,529200,4866,5480
"6 Wheeler Road Cape Elizabeth, ME 04107",U16,43.5712177,-70.2212299,514600,845900,11496,9030
"6 Wildwood Drive Cape Elizabeth, ME 04107",U24,43.605632,-70.2402,248500,598500,5551,6309
"6 Winding Way Cape Elizabeth, ME 04107",U38,43.5697166,-70.2069403,455000,1111200,10165,11948
"6 Winslow Place Cape Elizabeth, ME 04107",U30,43.611821,-70.233569,224300,383200,5011,4215
"6 Wood Road Cape Elizabeth, ME 04107",U04,43.6263241,-70.2179922,230700,966200,5154,10628
"6 Woodcrest Road Cape Elizabeth, ME 04107",U04,43.6262064,-70.2282969,373300,851400,8340,9090
"7 Abaco Drive Cape Elizabeth, ME 04107",U33,43.6259862,-70.2294322,583000,1309200,13024,14126
"7 Albion Road Cape Elizabeth, ME 04107",U25,43.6084109,-70.236737,373700,776700,8348,8269
"7 Algonquin Road Cape Elizabeth, ME 04107",U12,43.5806073,-70.2086667,335100,853400,7486,9387
"7 Apple Tree Lane Cape Elizabeth, ME 04107",U58,43.593116,-70.257705,145000,268500,3239,2569
"7 Arrow Point Road Cape Elizabeth, ME 04107",U04,43.6273166,-70.2262987,200600,759400,4481,8353
"7 Aster Lane Cape Elizabeth, ME 04107",U29,43.6228916,-70.2423036,432900,778900,9671,8568
"7 Avon Road Cape Elizabeth, ME 04107",U12,43.5803171,-70.2136566,724100,957400,16176,10256
"7 Bay View Road Cape Elizabeth, ME 04107",U03,43.6313109,-70.2251754,455600,996800,10178,10690
"7 Bayberry Lane Cape Elizabeth, ME 04107",U19,43.5829045,-70.2258792,262900,574700,5873,6047
"7 Birch Knolls Cape Elizabeth, ME 04107",U05,43.6277565,-70.2169132,581200,1678800,12984,18192
"7 Birchwood Road Cape Elizabeth, ME 04107",U03,43.631855,-70.2261624,459000,800900,10254,8810
"7 Brentwood Road Cape Elizabeth, ME 04107",U35,43.595951,-70.2392984,315600,619200,7051,6536
"7 Bridlepath Way Cape Elizabeth, ME 04107",U06,43.6219535,-70.2207528,353500,966300,7897,10351
"7 Brook Road Cape Elizabeth, ME 04107",U14,43.5682236,-70.2007527,1745600,2340200,38997,25742
"7 Campion Road Cape Elizabeth, ME 04107",U33,43.6225182,-70.2356578,220300,538200,4922,5645
"7 Canterbury Way Cape Elizabeth, ME 04107",U29,43.59925,-70.224478,365900,636400,8174,6725
"7 Cape Woods Drive Cape Elizabeth, ME 04107",U33,43.627339,-70.2313324,242800,502100,5424,5248
"7 Cedar Ledge Road Cape Elizabeth, ME 04107",U04,43.6280355,-70.2249084,427900,949100,9559,10165
"7 Channel View Road Cape Elizabeth, ME 04107",U38,43.5736804,-70.2087309,418200,1066700,9343,11459
"7 Charles Road Cape Elizabeth, ME 04107",U01,43.6327913,-70.2272913,210100,738600,4694,7850
"7 Columbus Road Cape Elizabeth, ME 04107",U32,43.6209781,-70.2348113,216700,553700,4841,5816
"7 Cove View Road Cape Elizabeth, ME 04107",U56,43.570666,-70.2106131,679100,1649900,15171,17874
"7 Cragmoor Cape Elizabeth, ME 04107",U02,43.6317033,-70.2203569,3955400,6463600,88364,71100
"7 Crescent View Ave Cape Elizabeth, ME 04107",U16,43.5686191,-70.2224657,428500,817300,9573,8715
"7 Cross Hill Road Cape Elizabeth, ME 04107",U58,43.5937868,-70.2549221,576300,1343900,12875,14508
"7 Dean Way Cape Elizabeth, ME 04107",U18,43.5750008,-70.2182969,226800,641800,5067,6785
"7 Dearborn Drive Cape Elizabeth, ME 04107",U22,43.5963639,-70.2355589,210700,576400,4707,6340
"7 Dyer Lane Cape Elizabeth, ME 04107",U15,43.5629555,-70.2004783,986700,2435400,22043,26789
"7 Dyer Pond Road Cape Elizabeth, ME 04107",U51,43.6162584,-70.2168279,694500,1255300,15515,13533
"7 Eastfield Road Cape Elizabeth, ME 04107",U42,43.5832433,-70.2151277,257900,660800,5761,6994
"7 Eastman Road Cape Elizabeth, ME 04107",U27,43.6091194,-70.2507056,368100,749300,8223,7967
"7 Edgecomb Way Cape Elizabeth, ME 04107",U26,43.6149285,-70.2455388,461300,915000,10305,9790
"7 Elmwood Road Cape Elizabeth, ME 04107",U03,43.6317582,-70.2265657,204800,685800,4575,7269
"7 Farm Hill Road Cape Elizabeth, ME 04107",U21,43.5947003,-70.233453,196000,483500,4379,5319
"7 Fenway Road Cape Elizabeth, ME 04107",U44,43.5800733,-70.2333851,205400,513100,4589,5369
"7 Fernwood Lane Cape Elizabeth, ME 04107",U34,43.6320893,-70.2327808,530200,922200,11845,10144
"7 Fessenden Road Cape Elizabeth, ME 04107",U39,43.5645471,-70.2166747,230400,421000,5147,4631
"7 Fieldstone Road Cape Elizabeth, ME 04107",U23,43.599156,-70.2331602,271800,628000,6072,6908
"7 Fowler Road Cape Elizabeth, ME 04107",U20,43.5897641,-70.2269353,194700,509200,4350,5326
"7 Fox Hill Road Cape Elizabeth, ME 04107",U24,43.6063453,-70.2312873,534500,847600,11941,8913
"7 Gladys Road Cape Elizabeth, ME 04107",U19,43.580906,-70.2275229,259600,588500,5799,6199
"7 Glos Way Cape Elizabeth, ME 04107",U49,43.621026,-70.242462,774400,1414200,17300,14874
"7 Granite Ridge Road Cape Elizabeth, ME 04107",U50,43.6191057,-70.2260452,1250800,2273200,27942,24456
"7 Graystone Road Cape Elizabeth, ME 04107",U50,43.6149695,-70.2296925,858200,2028800,19172,21766
"7 Great Pond Drive Cape Elizabeth, ME 04107",R06,43.5815389,-70.2320866,322400,707200,7202,7230
"7 Hamlin Street Cape Elizabeth, ME 04107",U29,43.6224421,-70.2429735,966000,1626200,21580,17338
"7 Hampton Road Cape Elizabeth, ME 04107",U19,43.5829223,-70.2280753,459600,1199200,10268,12642
"7 Hawthorn Road Cape Elizabeth, ME 04107",U59,43.599428,-70.2631232,826200,1825200,18457,19802
"7 Headland Lane Cape Elizabeth, ME 04107",U49,43.6194954,-70.2421058,345300,704600,7714,7476
"7 High Bluff Road Cape Elizabeth, ME 04107",U04,43.6262518,-70.2237434,281100,822100,6280,8768
"7 Hillcrest Drive Cape Elizabeth, ME 04107",U10,43.6016501,-70.218082,285500,670500,6378,7101
"7 Hunts Point Road Cape Elizabeth, ME 04107",U38,43.5739686,-70.2041231,762700,1993500,17039,21654
"7 Island View Road Cape Elizabeth, ME 04107",U03,43.6316984,-70.223976,331700,853300,7410,9111
"7 Ivie Road Cape Elizabeth, ME 04107",U04,43.6261402,-70.2223229,360200,995000,8047,10670
"7 Jewett Road Cape Elizabeth, ME 04107",U19,43.583228,-70.2291982,174900,514900,3907,5389
"7 Julie Ann Lane Cape Elizabeth, ME 04107",U11,43.59925,-70.224478,175500,1917400,3921,21091
"7 Juniper Lane Cape Elizabeth, ME 04107",U23,43.5988262,-70.2347565,258400,574900,5773,6324
"7 Katahdin Road Cape Elizabeth, ME 04107",U12,43.5801781,-70.2101016,273400,728400,6108,7737
"7 Kettle Cove Road Cape Elizabeth, ME 04107",U16,43.5691338,-70.2216841,345600,822500,7721,8707
"7 Ledgewood Lane Cape Elizabeth, ME 04107",U36,43.5764095,-70.211051,452700,1542400,10113,16625
"7 Leighton Farm Road Cape Elizabeth, ME 04107",R05,43.5948606,-70.2531442,440200,872500,9834,9323
"7 Lighthouse Point Road Cape Elizabeth, ME 04107",U14,43.5657965,-70.2029147,496700,1161800,11096,12780
"7 Lindenwood Road Cape Elizabeth, ME 04107",U04,43.6287076,-70.2239034,293400,760200,6555,8087
"7 Locksley Road Cape Elizabeth, ME 04107",U06,43.6224606,-70.2226179,416500,824500,9305,9070
"7 Longfellow Drive Cape Elizabeth, ME 04107",U21,43.5952121,-70.2366477,184600,479500,4124,5000
"7 Manor Way Cape Elizabeth, ME 04107",U30,43.6113678,-70.221442,544200,1288100,12157,14169
"7 Maple Lane Cape Elizabeth, ME 04107",U23,43.6001015,-70.2337735,293500,635600,6557,6992
"7 Maxwell Woods Drive Cape Elizabeth, ME 04107",U29,43.619039,-70.244031,339900,267500,7593,2668
"7 Mcauley Road Cape Elizabeth, ME 04107",U49,43.6227451,-70.2376251,257500,583300,5753,6141
"7 Misty Lane Cape Elizabeth, ME 04107",U36,43.5764279,-70.2131103,376600,1150300,8413,12378
"7 Montgomery Terrace Cape Elizabeth, ME 04107",U02,43.632773,-70.2246054,604500,1423900,13505,15663
"7 Mountain View Road Cape Elizabeth, ME 04107",U03,43.6316446,-70.2252667,454400,982500,10151,10533
"7 Oakview Drive Cape Elizabeth, ME 04107",U25,43.6074984,-70.2360375,150400,340000,3360,3465
"7 Ocean Avenue Cape Elizabeth, ME 04107",U17,43.5681648,-70.2236164,549900,1001200,12285,10738
"7 Ocean House Road Cape Elizabeth, ME 04107",U28,43.6213525,-70.2489841,374400,966000,8364,10626
"7 Odyssey Lane Cape Elizabeth, ME 04107",R09,43.5887691,-70.2356288,5277600,11178800,117900,122964
"7 Old Farm Lane Cape Elizabeth, ME 04107",U34,43.6288928,-70.236061,1107800,1859800,24748,20458
"7 Olde Colony Lane Cape Elizabeth, ME 04107",U09,43.6079669,-70.2189548,307200,703500,6863,7739
"7 Olde Fort Road Cape Elizabeth, ME 04107",U06,43.6228859,-70.2181846,344000,746800,7685,8215
"7 Orchard Road Cape Elizabeth, ME 04107",U21,43.5948664,-70.2353993,178900,458800,3997,4772
"7 Overlook Lane Cape Elizabeth, ME 04107",U12,43.5835653,-70.2098561,807700,1175200,18044,12927
"7 Park Circle Cape Elizabeth, ME 04107",U54,43.5980344,-70.2739195,598600,1315000,13373,14190
"7 Patricia Drive Cape Elizabeth, ME 04107",U35,43.5957939,-70.2404392,218600,506500,4884,5297
"7 Peabbles Point Lane Cape Elizabeth, ME 04107",R03,43.587573,-70.2065764,656100,1849700,14657,20347
"7 Penwood Circle Cape Elizabeth, ME 04107",U35,43.5967372,-70.2402835,273500,603500,6110,6639
"7 Peppergrass Road Cape Elizabeth, ME 04107",U60,43.600671,-70.254704,219800,551600,4910,6068
"7 Pheasant Hill Road Cape Elizabeth, ME 04107",R04,43.6028155,-70.2469052,254600,545900,5688,5730
"7 Philip Road Cape Elizabeth, ME 04107",U22,43.5962503,-70.2346984,262500,553000,5864,5808
"7 Pilot Point Road Cape Elizabeth, ME 04107",U12,43.578885,-70.2101728,573400,1243700,12810,13406
"7 Pine Point Road Cape Elizabeth, ME 04107",U35,43.5998246,-70.2376286,291600,601700,6514,6344
"7 Pine Ridge Road Cape Elizabeth, ME 04107",U36,43.5742524,-70.2097766,330500,900300,7383,9628
"7 Pleasant Avenue Cape Elizabeth, ME 04107",U27,43.6115178,-70.2502231,190400,543000,4254,5632
